Timestamp,value
2021-03-01 00:00:00,14246093.772323411
2021-03-01 00:05:00,15055533.51581072
2021-03-01 00:10:00,15187593.196473552
2021-03-01 00:15:00,15471775.41
2021-03-01 00:20:00,16265694.216797313
2021-03-01 00:25:00,13977513.852304395
2021-03-01 00:30:00,14021899.103099441
2021-03-01 00:35:00,16584574.755910683
2021-03-01 00:40:00,17444195.51170422
2021-03-01 00:45:00,15065822.095603485
2021-03-01 00:50:00,13807851.56347576
2021-03-01 00:55:00,15928265.892595781
2021-03-01 01:00:00,17051904.97428204
2021-03-01 01:05:00,15475112.451061066
2021-03-01 01:10:00,17699545.793211255
2021-03-01 01:15:00,17159032.05995097
2021-03-01 01:20:00,17700958.52762612
2021-03-01 01:25:00,17320944.80859375
2021-03-01 01:30:00,17749167.6620587
2021-03-01 01:35:00,18573828.371639203
2021-03-01 01:40:00,16867928.733794294
2021-03-01 01:45:00,18153318.624570448
2021-03-01 01:50:00,18515567.53871107
2021-03-01 01:55:00,19769645.14736613
2021-03-01 02:00:00,18885210.289879568
2021-03-01 02:05:00,18250440.81181347
2021-03-01 02:10:00,18971131.235607676
2021-03-01 02:15:00,18800151.726670936
2021-03-01 02:20:00,17817008.44560715
2021-03-01 02:25:00,18250867.990570083
2021-03-01 02:30:00,19268088.087538395
2021-03-01 02:35:00,19411572.150213674
2021-03-01 02:40:00,18266225.481629226
2021-03-01 02:45:00,22562677.266709927
2021-03-01 02:50:00,19410259.196724843
2021-03-01 02:55:00,20297082.960506547
2021-03-01 03:00:00,18866799.563121166
2021-03-01 03:05:00,18547907.98386759
2021-03-01 03:10:00,20616636.42591811
2021-03-01 03:15:00,19176768.487431694
2021-03-01 03:20:00,18417575.66781932
2021-03-01 03:25:00,20582981.60907696
2021-03-01 03:30:00,19221220.58905908
2021-03-01 03:35:00,20125825.01664112
2021-03-01 03:40:00,20143004.358387798
2021-03-01 03:45:00,19531716.89975441
2021-03-01 03:50:00,20223846.46813781
2021-03-01 03:55:00,19120765.960606746
2021-03-01 04:00:00,19313584.411977403
2021-03-01 04:05:00,21394808.80108992
2021-03-01 04:10:00,20727883.661437016
2021-03-01 04:15:00,18831521.763731275
2021-03-01 04:20:00,20618403.8283105
2021-03-01 04:25:00,20469924.668992788
2021-03-01 04:30:00,20436699.39789965
2021-03-01 04:35:00,19257274.27396605
2021-03-01 04:40:00,19798047.646902226
2021-03-01 04:45:00,19192824.8266307
2021-03-01 04:50:00,20399316.035380837
2021-03-01 04:55:00,19265572.787095156
2021-03-01 05:00:00,18375552.96402331
2021-03-01 05:05:00,18158627.799073838
2021-03-01 05:10:00,20157283.71295557
2021-03-01 05:15:00,20113315.374833733
2021-03-01 05:20:00,19689319.17101758
2021-03-01 05:25:00,20434897.012465373
2021-03-01 05:30:00,21487431.05393506
2021-03-01 05:35:00,19395634.52922815
2021-03-01 05:40:00,20481990.219639745
2021-03-01 05:45:00,17744883.40437956
2021-03-01 05:50:00,19838682.757040143
2021-03-01 05:55:00,20555124.18097239
2021-03-01 06:00:00,19276505.62950721
2021-03-01 06:05:00,20639350.404521845
2021-03-01 06:10:00,17432731.52628343
2021-03-01 06:15:00,18818993.192845527
2021-03-01 06:20:00,18089283.024334848
2021-03-01 06:25:00,19036174.32590894
2021-03-01 06:30:00,17566800.124144673
2021-03-01 06:35:00,17996572.817327064
2021-03-01 06:40:00,20429383.521145977
2021-03-01 06:45:00,18485039.65735243
2021-03-01 06:50:00,20210761.882731497
2021-03-01 06:55:00,18377564.527022127
2021-03-01 07:00:00,16970020.380503144
2021-03-01 07:05:00,17572788.67548249
2021-03-01 07:10:00,18570691.422349162
2021-03-01 07:15:00,18079380.99284369
2021-03-01 07:20:00,20344370.641723357
2021-03-01 07:25:00,18064055.130662672
2021-03-01 07:30:00,16084969.475628331
2021-03-01 07:35:00,16787661.467482787
2021-03-01 07:40:00,16286852.829603456
2021-03-01 07:45:00,18831950.36656201
2021-03-01 07:50:00,20391674.8
2021-03-01 07:55:00,17856792.923551172
2021-03-01 08:00:00,19102567.827064596
2021-03-01 08:05:00,15506073.243410215
2021-03-01 08:10:00,17162963.715430018
2021-03-01 08:15:00,18106855.24948283
2021-03-01 08:20:00,15829383.169133192
2021-03-01 08:25:00,17109513.584880635
2021-03-01 08:30:00,16263605.543965517
2021-03-01 08:35:00,17151796.4177052
2021-03-01 08:40:00,15118579.0436872
2021-03-01 08:45:00,13197087.607472528
2021-03-01 08:50:00,14186229.038715353
2021-03-01 08:55:00,16150359.146540027
2021-03-01 09:00:00,17938397.320128974
2021-03-01 09:05:00,14174089.513359614
2021-03-01 09:10:00,15571918.658671586
2021-03-01 09:15:00,14744509.179570895
2021-03-01 09:20:00,14231871.268649885
2021-03-01 09:25:00,17298320.763802208
2021-03-01 09:30:00,15527428.868497109
2021-03-01 09:35:00,13934939.000963856
2021-03-01 09:40:00,11663743.577055637
2021-03-01 09:45:00,17059076.41755577
2021-03-01 09:50:00,13635066.766552232
2021-03-01 09:55:00,16482436.440936863
2021-03-01 10:00:00,13697229.293791015
2021-03-01 10:05:00,12491090.946564885
2021-03-01 10:10:00,12031789.040241448
2021-03-01 10:15:00,12379924.249371544
2021-03-01 10:20:00,13310000.697266633
2021-03-01 10:25:00,12690779.956748307
2021-03-01 10:30:00,14436011.271711528
2021-03-01 10:35:00,11256872.770096462
2021-03-01 10:40:00,13714707.334033614
2021-03-01 10:45:00,10971051.13855103
2021-03-01 10:50:00,10582565.85596283
2021-03-01 10:55:00,13585789.490066225
2021-03-01 11:00:00,12734422.820406038
